word,count
amic,1
amplifi,1
amrani,1
analyses.,1
anchor:,1
and,980
"and, accord",1
and/or,36
andi,4
and 10-tim,1
and 11,1
and 3.2,1
and feel,2
and impact,1
"and infectious,",1
and manu,1
and run,1
and spur,1
and stackhous,1
anem,1
"angry,",2
announcement.,2
anonym,34
anonymity.,7
answers.,6
anterior,7
"antetokounmpo,",28
antetokounmpo lead,1
anthem,16
anthem.,3
anthem...,1
anthony,2
anthony;,1
anthony’,2
anti-drug,3
anticip,23
antonio. ,1
antonio’,16
antoniu,1
anymore? not,1
anyone',2
anyone.,6
an all-star,1
an all-star-typ,2
an offens,1
apg season,1
apiece in,1
apologize.,1
"app,",5
app. ,3
app:,1
appar,23
"apparent,",2
"apparently,",5
appeal,9
appeal',1
appeal.,3
appeal recap,1
"appearances,",7
appearances:,1
"appearing,",1
appeas,1
"applauded,",1
applesauc,1
"appointments,",1
"appraiser,",1
appropri,15
"appropriate,",1
appropriately.,1
approxim,16
apps.,2
april).,1
"arc,",12
arc. ,1
arcidiacono,2
are.',1
area. ,2
aren’t,36
are clos,1
argentinian,1
"arison,",1
ariza,37
"ariza,",9
ariza said.,1
"arizona,",5
arm,26
armi,2
arrival.,1
"arrivals,",1
arrive.,1
art,8
arti,4
"article,",1
ascend,4
aschburner: i,1
"aside,",2
ask.,3
aspir,11
"assassination,",1
assess,21
"assessment,",1
"assets,",6
assistant.,3
"assistants,",2
"assisted,",1
assists),8
assists).,3
assur,15
"atkinson),",1
atlanta',2
atlanta.,21
atlantic.,1
atmosphere.,1
"atonement,",2
"attacks),",1
"attempts),",1
"attention,",6
attir,1
attl,3
attorney’,1
attuck,1
at air,1
"au,",2
auburn,12
"audience,",2
audience:,1
august.lo,1
"augusta,",1
australia;,1
author,14
autonomi,1
avalanche.,1
aveng,2
avenu,2
averag,852
averaging 15.7,1
averi,42
award,142
"award,",30
award. ,3
award.                ,1
award:,1
"away,",17
awe,3
awesome.,2
"aww,",1
ax,2
a commit,1
"baby,",2
back,725
back.'',1
back/hip,1
back?,1
"backcourt,",3
backdrop.,1
backfir,3
backstag,1
backward.,3
bad),1
"badly,",1
badmouth,1
bag.,1
bagley,31
bagley',1
bagley.,1
baker,7
"baker,",2
baker:,1
ball,402
ball?,1
ballhandl,5
bam,4
bamba’,7
ban.,1
bandirma,4
bang.,1
barclay,13
barely-open,1
barrier.,1
"barton,",1
base,71
basement,1
"basically,",4
basketball's high,1
"basketball,'",1
basketball-rel,2
basketball to busi,1
baskets.,4
bass,10
bat,4
bathroom,6
battle-tested.,1
baum,4
bbva,10
be.),2
beacon-journal.,1
beal told,1
beal’,2
"beat,",2
beaver,1
become).,1
becoming the first al,1
been lebron',1
beer,3
befit,1
before.,26
"befriend,",1
began,89
"began,",8
began:,1
"begins,",5
"behemoths,",2
behold,1
belgrade.,1
beliauska,4
belief,22
belief.,1
believe. i,1
"believes,",5
believes:,1
bell',1
bell-hayn,1
bell.,1
below-averag,4
belowtherimpic.twitter.com/hjy3pvog3o,2
bemoan,1
bemus,1
bemused.,1
bench,147
"bench,",29
"benchmark,",1
bender.,2
bene,1
benson,32
benz,2
berni,3
"bertans,",1
beset,1
best-of-thre,2
beth,1
better-prepar,1
better;,4
bettor,2
beverag,1
beverley;,1
beverli,1
bevi,1
"beyond,",1
biamba,1
bibl,1
bieshaar,2
"big,",9
big-foot,1
big-nam,8
big3,5
biggie.,1
bigs.,4
"biking,",1
billboard,12
billion),2
"bin,",1
bind,8
"binding,",1
bingham,3
birthdat,2
birthday.,6
bites.,1
bitter,4
bitter.,3
bjelica wil,1
"blanco,",6
blaylock,1
"bleak,",1
bled,7
bledsoe',3
bledsoe.,3
blinebury: onc,1
blinebury: paul,1
blob,1
blogtable: ,1
blow,30
blowout,17
blue,20
blue-collar,2
blueprint,4
bluesi,1
bodner,1
body’,1
boerwinkle.,1
bogut,31
"bogut,",4
bolder,1
bole,1
bolt.,1
bomb,1
booker),1
booker and,1
borders.,3
borrego,11
bosh’,1
boss,25
boston's ,1
boston — th,1
boston’,33
bother,20
bottom,45
bottom).,2
bout,1
"box,",3
boycott.,2
"boys,",3
"bpg,",2
brace,4
bracket-styl,1
brad,39
bradi,4
bradley,91
brand.,3
"branding,",4
brandon,49
breakdown,3
"breakdowns,",1
breathlessli,1
"brees,",2
breez,1
brent,3
brethren.,2
bridg,28
briefcas,1
briefly.,1
brilliant,12
brilliantli,1
brings.,2
british,3
"bro,''",1
broad,6
broadcast;,1
"broadly,",1
"broadway,",1
brodi,1
brogdon,22
brogham,1
bronczek,1
brook,46
brooklyn',5
brooklyn-houston,1
brooklyn.,14
brooks).,1
brothers.,3
brown’,8
bruise.,4
bruised.,1
brunch,4
brush,3
brute,1
bry,1
bschneider01.,1
bu,3
bucket,19
bucket.,2
bucks',21
bucks.,24
bucks. ,1
bucks’,18
"budenhozer,",1
buechler,2
buford,8
buford',2
buford.,1
build.,4
"building,",11
buildings.,1
bullet,3
bulletin,1
bullhorn,2
bullish,1
bulls',15
bulls.,14
bulls forward paul,1
bulls’,16
burden,7
burden.,1
burden.’,1
bursiti,1
"bursts,",1
busiest,1
"business,",14
"businesses,",3
businessman,5
businesswis,1
"but,",60
but:,3
butler),2
butlerkey,1
but came up,1
buy-sell,1
"buzzer, mock",1
buzzer-b,3
"by,",5
by:,1
byers.,1
by earl,1
bzdelik,4
"c,",1
"c.j.,",2
"caldwell-pope,",8
"calendar,",1
calf,9
"calif.,",6
call-in,1
calll,1
"calls,",2
calls],1
calm,10
calmli,1
calvin,4
camera,8
came a,2
camp.),1
camp;,1
camper,8
"camps,",1
candidates.,4
cannabi,4
"cannot,",1
capable.,2
capela,26
caper,5
capit,15
capo,3
