word,count
"<coach,decision,>",15

"<coach,decision-maker,>",3

"<coach,decisions.>",3

"<coach,declared,>",2

"<coach,declin>",11

"<coach,dedmon'>",2

"<coach,dedric>",2

"<coach,defeat>",48

"<coach,defense,>",47

"<coach,defense:>",7

"<coach,defenses.>",6

"<coach,degrees,>",2

"<coach,deliver.>",2

"<coach,denni>",10

"<coach,denver,>",13

"<coach,depth>",7

"<coach,deserve,>",3

"<coach,design>",39

"<coach,desperation,>",3

"<coach,destin>",1

"<coach,detail,>",1

"<coach,diallo>",2

"<coach,diarra,>",2

"<coach,dickinson.>",8

"<coach,did.>",14

"<coach,didn't,>",12

"<coach,differ>",135

"<coach,disaster,>",4

"<coach,discipline-wise,>",3

"<coach,dismantl>",2

"<coach,distance,>",4

"<coach,district>",18

"<coach,divis>",55

"<coach,dolan,>",1

"<coach,dominion.>",2

"<coach,doncic>",64

"<coach,done,>",25

"<coach,dont>",14

"<coach,dormitori>",4

"<coach,dose>",1

"<coach,doubt>",9

"<coach,doughti>",2

"<coach,down>",12

"<coach,downtown>",7

"<coach,drain>",9

"<coach,drawn>",2

"<coach,dreams.>",2

"<coach,drew'>",6

"<coach,dribble,>",2

"<coach,dribble-behind-his-back-after-chasing-down-his-own-st>",3

"<coach,drink>",1

"<coach,drown>",2

"<coach,drug>",18

"<coach,due>",35

"<coach,dunk.>",9

"<coach,each.>",5

"<coach,earliest>",2

"<coach,early.>",25

"<coach,easiest>",6

"<coach,east>",153

"<coach,eastern):>",9

"<coach,eaton-robb>",4

"<coach,ecstat>",2

"<coach,eight>",309

"<coach,eighth,>",3

"<coach,electrifying,>",2

"<coach,eligible.>",15

"<coach,elijah>",8

"<coach,elite,>",3

"<coach,email>",14

"<coach,emmaniel>",1

"<coach,encapsul>",2

"<coach,end,>",38

"<coach,endless>",1

"<coach,energy'>",1

"<coach,enni>",5

"<coach,enough.>",3

"<coach,enough>",78

"<coach,ensur>",11

"<coach,enthusiasm,>",2

"<coach,entitl>",1

"<coach,equal.>",1

"<coach,eras>",16

"<coach,espn>",15

"<coach,estrang>",1

"<coach,eventu>",41

"<coach,everybody,>",1

"<coach,evident.>",2

"<coach,ex-arizona>",7

"<coach,exact>",7

"<coach,exceed>",3

"<coach,except>",40

"<coach,excited.>",7

"<coach,exhal>",5

"<coach,explosiveness,>",1

"<coach,eye>",14

"<coach,face,>",4

"<coach,face-to-fac>",2

"<coach,facilities,>",3

"<coach,fact>",28

"<coach,falling,>",1

"<coach,famili>",97

"<coach,fanci>",1

"<coach,fantast>",19

"<coach,fantastic,>",2

"<coach,fascia>",2

"<coach,father>",21

"<coach,fbi>",70

"<coach,fear>",1

"<coach,feedback>",1

"<coach,feel,>",6

"<coach,feeling,>",13

"<coach,feet>",23

"<coach,feloni>",5

"<coach,felt>",61

"<coach,ferry,>",5

"<coach,file>",2

"<coach,fill>",29

"<coach,finals,>",5

"<coach,fine,>",3

"<coach,firmli>",3

"<coach,first-hand>",10

"<coach,fits.>",2

"<coach,five-point>",9

"<coach,five-year>",44

"<coach,fizdal>",23

"<coach,fizdale,>",5

"<coach,flirt>",5

"<coach,flourish>",2

"<coach,flu>",3

"<coach,focus>",31

"<coach,foe>",8

"<coach,followed.>",7

"<coach,football,>",14

"<coach,forc>",88

"<coach,fortun>",13

"<coach,fouled,>",7

"<coach,found>",75

"<coach,four.>",112

"<coach,fred'>",10

"<coach,freshman,>",23

"<coach,freshman>",129

"<coach,friendli>",3

"<coach,from>",23

"<coach,fsu>",14

"<coach,fuel.>",3

"<coach,future.>",17

"<coach,g/f>",4

"<coach,ga>",5

"<coach,game)>",1

"<coach,game-high>",10

"<coach,game-us>",1

"<coach,game>",1474

"<coach,gate>",2

"<coach,gay,>",3

"<coach,geno>",5

"<coach,genteel>",3

"<coach,geoffrey>",7

"<coach,gift.>",3

"<coach,ginobili'>",10

"<coach,ginobili.>",14

"<coach,glen>",2

"<coach,glimmer>",1

"<coach,go>",743

"<coach,gobert'>",1

"<coach,golden1>",2

"<coach,goldwire'>",3

"<coach,googl>",14

"<coach,government.>",1

"<coach,grace.>",2

"<coach,graduat>",35

