Name,G
49-37,1
49-4,1
49-40,1
49-43,1
49-46,2
49-47.,1
49-game,2
49.,1
49.3,2
495.7,1
49th,2
4:00,1
4:06,1
4:09,1
4:18,1
4:21,1
4:24,2
"4:25,",1
4:27,2
4:30,3
4:33,2
4:33pm,1
4:42,1
4:45,1
4:48,1
4:50.,1
4:51,2
4:57,1
4th,1
5,258
5):,1
"5,020.",2
5-0,13
5-1),1
5-10),2
"5-10),",1
5-12,1
5-13),3
"5-13),",1
"5-2),",2
5-3,10
5-3).,1
5-4),2
"5-5),",1
5-6,8
5-6).,4
5-7),3
"5-8),",3
5-9,3
5-9).,4
5-foot-10-inch,1
5-foot-9,1
5-line?,1
5-of-10,2
5-of-25,1
5-of-5,1
5.1%,1
5.2,1
5.5,6
5.5-point,1
5.8,5
50,69
50).,1
50):,1
"50,000",1
"50-21,",1
50-39,1
50-42,1
50-46.,1
50-48,1
50.2,2
50.8,7
50/1,1
500,6
509,1
51),1
"51,",1
51-29,2
51-35,2
51-41,2
51-42.,1
51-44,3
51-47,4
51-48.,1
51-50,2
51-all,2
51.1,3
51.4,1
51.7,2
517.,1
52-28,1
52-34,1
52-37,1
52-38.,1
52-40,3
"52-40,",1
52-43,1
52-44.,1
52-46,1
"52-46,",1
52-49,3
"52-49,",1
52-hour,1
52.3,1
52.6,6
52.9,2
53,23
53).,1
53-30,1
53-33,2
53-36,1
53-42,1
53-45,3
53-48,1
53-49.,1
53-51,5
53.2,6
53.5,4
"53.6,",1
53.8,4
"54,",2
54-38,1
54-39.,1
54-44,2
54-50,1
"54-50,",1
54-53,6
54-all,1
54.1,3
54.6.,1
54.7,2
"55-25,",1
55-46,2
55-49,1
55-50.,1
55-52,2
55.3,3
55.6,2
55.9,3
56,21
56).,1
56-39,1
"56-39,",1
56-40.,1
56-42,1
56-45,2
56-48,3
56-52.,1
56-54,3
56.5,4
56.8,2
57),1
"57,",1
57-32,1
57-44,1
57-47,1
57-50,1
57-53,4
57-54.,1
57-56,6
"57-56,",1
57-all,1
57.1,2
57.4,2
57.7,1
58%,1
58-43,1
58-46,2
"58-46,",1
58-49,1
58-52,1
"58-52,",1
58-55,1
"58-55,",1
58-56.,1
58-58,1
"58-of-58),",1
58.,1
58.3,1
59,19
59):,2
59-21,1
59-46.,1
59-48,2
59-51,2
59-54,1
59-55.,1
59-57,4
59.5,1
"59.92,",1
5:02,1
5:08,2
5:11,1
5:14,1
5:17,1
5:20,1
5:26,3
5:32,1
5:35,1
5:38,1
5:41,1
5:50,1
5:56,2
5:59,2
5b.,1
"6'3,",1
6'8,1
6'8.5,1
6),1
"6,",8
"6-0,",1
6-10).,1
6-11,6
6-12),7
"6-12),",1
6-2,14
6-2).,2
6-3),4
"6-4),",4
6-5,19
6-5).,2
6-6),2
"6-7),",4
6-8,17
6-9),4
"6-9,",1
6-foot-11,7
6-foot-2,1
6-foot-5,2
"6-foot-6,",1
6-foot-7.,2
6-foot-8,12
"6-foot-9,",1
6-for-16,1
6-for-25,1
6-for-6,1
6-for-9,1
"6-line,",1
6-of-12,1
6-of-7,2
6.1,1
6.4,3
6.4-point,1
6.7,5
60),2
60): when,1
"60,",2
60-50,1
60-53,3
60-56,6
"60-56,",2
60-59,6
60-all,2
60.4,3
61-40,2
61-49,2
61-55,1
61-58,8
61-59.,3
61-61,1
61.,1
61.0,2
61.5%,1
61.9,2
62,13
62).,1
62):,1
62): the bearcats finish,1
62-42,2
62-45,2
62-48,1
62-49.,1
62-51,1
62-54,3
62-57,2
62-58.,2
62-60,7
"62-60,",1
62-61.,2
62.5,2
"63,",1
63-44,2
63-50,2
63-53,1
63-56,2
63-59,2
63-62,7
"63-62,",1
63-point,1
64): after,1
64-40,1
64-41.,1
64-49,2
64-55,4
64-58,5
64-61,9
"64-61,",1
64-62.,1
64.,2
64.0,1
65,13
65):,1
65-48,2
65-51,1
65-54,3
65-55.,1
65-60,6
65-63,7
"65-63,",1
65.2,1
65.8,3
"66,",1
66-48.,1
"66-50,",1
66-53,3
66-56,1
66-59,3
"66-59,",1
66-62,8
66-65,4
"66-65,",1
66.7,4
67-40,1
67-46,2
67-47.,1
67-49,1
67-52,1
67-55,2
67-58,5
67-61,6
"67-61,",1
67-64,8
67-65.,2
67.,2
67.6,1
68,14
68):,2
68): the,1
68-48,1
68-54,1
68-57,3
68-60,3
68-63,5
68-66,8
"68-66,",1
68-67.,1
68.2,1
683,1
"69,",3
69-35,1
69-53,7
69-56,2
69-59,2
69-62,4
69-65,4
69-68,6
"69-68,",1
69.1,1
69.6%,1
6:04,1
6:07,2
6:12.,1
6:13,1
6:16,1
6:19,2
6:27.,1
6:28,1
6:34,1
6:37,1
6:55,3
6:58,2
6’10-plu,1
6’2,1
6’5,1
6’8,1
"6’8,",2
7-0.,1
7-1,8
7-1).,1
7-10,3
7-11),2
7-2),5
7-4,8
7-4).,1
7-5),2
7-55,1
"7-6),",1
7-7,8
7-7).,2
7-8),2
7-footer.,1
7-for-11,1
7-for-20,1
7-for-7,1
7-of-10,6
7-of-13,2
7-of-19,1
7-of-9,3
7-seed,2
7.,17
7.0,4
7.3,2
7.6,6
7.8.,1
7.9,2
70%,1
70-34,1
70-49,2
70-50.,1
70-52,1
70-55,5
70-58,5
70-61,2
"70-61,",1
70-64,2
"70-64,",1
70-65.,2
70-67,5
70-68.,1
70-year-old,1
70.,1
70.0,1
70.5%,1
70.6,1
700th,1
71,7
71):,1
71-39,1
71-45,1
71-51,1
71-57,6
71-58.,1
71-60,2
71-66,4
71-69,6
71-70.,1
71.5,1
"72,",1
72-53,1
72-54.,1
72-56,2
72-59,2
72-62,3
72-65,2
72-66.,1
72-68,2
72-71,7
72.7,1
73-49,1
73-52,1
73-55,2
73-58,1
73-61,2
73-64,3
73-67,2
73-70,10
73-73,2
73.,2
73.6,1
74,4
74):,1
74-48,1
74-51,1
74-54,1
74-57,4
74-60,3
74-63,6
74-69,5
74-72,3
"74-72,",2
74-73.,1
74-year-old,1
"75,",2
75-38,1
75-56,1
75-59,4
75-62,4
75-65,2
75-68,2
75-71,3
75-74,3
75.0.,1
75.7,1
75th.),1
76-40,1
76-49,1
76-52,2
76-61,1
76-64,3
76-67,5
76-70,2
"76-70,",1
76-73,7
77,3
77):,1
77): the,1
77-54,1
77-57,1
77-60,3
77-63,5
"77-63,",1
77-66,3
77-69,1
77-72,4
77-75,3
"77-75,",1
"78,",3
78-35,1
78-63.,1
78-68,7
78-71,3
78-74,4
78-77,2
78-78.,1
79-46,1
79-61,2
79-64,1
79-68.,1
79-70,1
