word,count
"<coach,73-62.>",4

"<coach,73-all>",4

"<coach,74-49.>",3

"<coach,74-70.>",9

"<coach,74>",54

"<coach,76,>",6

"<coach,76-51.>",5

"<coach,76-62>",8

"<coach,76-65.>",23

"<coach,76-69>",8

"<coach,76-75,>",2

"<coach,76er>",47

"<coach,77-56>",2

"<coach,77-70>",15

"<coach,77-76,>",2

"<coach,78-77,>",9

"<coach,78-percent>",2

"<coach,79-44>",5

"<coach,79-71,>",2

"<coach,79-72>",8

"<coach,79.1>",2

"<coach,7:07>",3

"<coach,7:35>",9

"<coach,7;>",2

"<coach,8,000>",8

"<coach,8,028>",5

"<coach,8-0>",34

"<coach,8-foot-4?>",3

"<coach,8.4>",2

"<coach,80-73>",7

"<coach,80-80>",3

"<coach,80-degre>",3

"<coach,805-win>",2

"<coach,81>",17

"<coach,82-68>",5

"<coach,82-75>",2

"<coach,83,>",2

"<coach,87-73>",7

"<coach,87-80>",4

"<coach,87.4,>",2

"<coach,88-73,>",9

"<coach,88>",13

"<coach,89-68>",10

"<coach,89-75>",10

"<coach,89.2>",3

"<coach,8:08>",8

"<coach,8:15>",5

"<coach,8:29>",1

"<coach,8:50>",12

"<coach,8:57>",2

"<coach,8>",408

"<coach,9-3.>",2

"<coach,9-seed>",9

"<coach,9.2>",2

"<coach,9.>",41

"<coach,90-62>",22

"<coach,90-76>",2

"<coach,91-63>",5

"<coach,92-115>",15

"<coach,92-50>",5

"<coach,94.>",3

"<coach,952>",2

"<coach,95>",28

"<coach,9:02>",1

"<coach,9:30>",6

"<coach,AN>",2

"<coach,BY>",8

"<coach,F>",3

"<coach,In>",696

"<coach,JV>",3

"<coach,Ko>",2

"<coach,Le>",15

"<coach,Mi>",1

"<coach,ON>",34

"<coach,T>",20

"<coach,UC>",160

"<coach,a.i.c.>",10

"<coach,a.i.c.’>",5

"<coach,aah>",1

"<coach,abbi>",8

"<coach,abdomen.>",1

"<coach,abigail>",2

"<coach,abilen>",171

"<coach,abl>",380

"<coach,about.>",41

"<coach,abroad.>",3

"<coach,absolut>",29

"<coach,academi>",10

"<coach,acc,>",16

"<coach,accept>",99

"<coach,accomplish>",71

"<coach,accomplished,>",6

"<coach,account,>",5

"<coach,achiev>",13

"<coach,activ>",24

"<coach,actor>",6

"<coach,acu'>",3

"<coach,acut>",2

"<coach,added,>",49

"<coach,added:>",9

"<coach,addit>",49

"<coach,address>",20

"<coach,adjustments.>",3

"<coach,administ>",4

"<coach,administration,>",13

"<coach,admittedli>",5

"<coach,advantage,>",35

"<coach,advis>",5

"<coach,aftermath,>",13

"<coach,afternoon'>",7

"<coach,afternoon.>",29

"<coach,against.>",16

"<coach,against>",33

"<coach,age,>",2

"<coach,agency.>",4

"<coach,agent,>",6

"<coach,agent>",17

"<coach,agents,>",18

"<coach,aggies’>",9

"<coach,aggressive.>",12

"<coach,agitated,>",14

"<coach,agreed:>",2

"<coach,ahead,>",21

"<coach,ahead:>",5

"<coach,ahead>",199

"<coach,ail>",1

"<coach,air-bal>",2

"<coach,akienreh>",4

"<coach,akoh>",2

"<coach,ala.>",12

"<coach,alabama,>",42

"<coach,alas,>",12

"<coach,albany.>",4

"<coach,aleah>",5

"<coach,alert>",3

"<coach,alexandria,>",1

"<coach,alexi>",15

"<coach,all-america>",14

"<coach,all-big>",49

"<coach,all-freshman>",3

"<coach,all-pac-12>",4

"<coach,all-tim>",97

"<coach,all-time,>",7

"<coach,all-too-familiar>",4

"<coach,all-tourna>",8

"<coach,allegation.>",6

"<coach,allen.>",4

"<coach,allowed,>",3

"<coach,alone,>",6

